DATE,vwretd,vwretx,ewretd,ewretx,sprtrn,spindx,totval,totcnt,usdval,usdcnt,vwretd_cum,ewretd_cum,sprtrn_cum,RF,ret,rete,GS10,TB3MS,BAA,CPIAUCSL,UNRATE,VIXCLS,SP500
1990-01-31,-0.070114,-0.071947,-0.046408,-0.048037,-0.068817,329.08,3051636650.0,6803.0,3282828520.0,6755.0,0.929886,0.953592,0.931183,0.005699999999999999,-0.07581399999999999,-0.052107999999999995,8.21,7.64,9.94,127.5,5.4,25.36,329.08
1990-02-28,0.0149,0.010957,0.015434,0.013844,0.008539,331.89,3087818130.0,6795.0,3048670390.0,6760.0,0.9437413013999999,0.968309738928,0.9391343716370001,0.005699999999999999,0.0092,0.009734,8.47,7.74,10.14,128.0,5.3,21.99,331.89
1990-03-30,0.024148,0.021626,0.021315,0.019445,0.024255,339.94,3165283840.0,6800.0,3084328600.0,6747.0,0.9665307663462072,0.9889492610132503,0.9619130758210555,0.0022477966101694916,0.007391630508474577,0.007793915254237287,4.249547619047619,2.673714285714286,6.558309523809523,207.06204047619048,5.714761904761905,19.538904761904764,1699.3019047619048
1990-03-31,0.009028021428571429,0.007314245238095238,0.009667804761904762,0.008078440476190477,0.007639921428571428,1699.3015476190474,22077577365.45238,7464.109523809524,21868505437.97619,7407.7357142857145,7.676869417969179,11.743893880267732,4.8084474878663475,0.0022477966101694916,0.007391630508474577,0.007793915254237287,8.59,7.9,10.21,128.6,5.2,19.73,339.94
1990-04-30,-0.028283,-0.030562,-0.028116,-0.029637,-0.026887,330.8,3070976920.0,6807.0,3163238220.0,6750.0,0.9391943766816374,0.9611439635906017,0.9360501189514547,0.0069,-0.035183,-0.035016,8.79,7.77,10.3,128.9,5.4,19.52,330.8
1990-05-31,0.088935,0.084648,0.045673,0.043835,0.091989,361.23,3330491030.0,6810.0,3067395470.0,6752.0,1.0227216285718188,1.0050422918396753,1.0221564333436801,0.0068000000000000005,0.082135,0.038873,8.76,7.74,10.41,129.1,5.4,17.37,361.23
1990-06-29,-0.004193,-0.006736,0.005359,0.003616,-0.008886,358.02,3308344150.0,6797.0,3324457970.0,6742.0,1.0184333567832171,1.010428313481644,1.0130735512769882,0.0022477966101694916,0.007391630508474577,0.007793915254237287,4.249547619047619,2.673714285714286,6.558309523809523,207.06204047619048,5.714761904761905,19.538904761904764,1699.3019047619048
1990-06-30,0.009028021428571429,0.007314245238095238,0.009667804761904762,0.008078440476190477,0.007639921428571428,1699.3015476190474,22077577365.45238,7464.109523809524,21868505437.97619,7407.7357142857145,7.676869417969179,11.743893880267732,4.8084474878663475,0.0022477966101694916,0.007391630508474577,0.007793915254237287,8.48,7.73,10.22,129.9,5.2,15.5,358.02
1990-07-31,-0.009392,-0.011593,-0.025731,-0.027244,-0.005223,356.15,3271642060.0,6798.0,3306469930.0,6739.0,1.0088682306963093,0.9844289825474479,1.0077822681186686,0.0068000000000000005,-0.016191999999999998,-0.032531000000000004,8.47,7.62,10.2,130.5,5.5,21.11,356.15
1990-08-31,-0.091903,-0.095716,-0.10892,-0.110706,-0.094314,322.56,2951948160.0,6784.0,3262931290.0,6741.0,0.9161502136906264,0.8772049777683799,0.9127342912833244,0.0066,-0.098503,-0.11552,8.75,7.45,10.41,131.6,5.7,29.9,322.56
1990-09-28,-0.053844,-0.05611,-0.080468,-0.082295,-0.051184,306.05,2783225260.0,6760.0,2946434630.0,6737.0,0.8668210215846683,0.8066180476173139,0.8660168993182787,0.0022477966101694916,0.007391630508474577,0.007793915254237287,4.249547619047619,2.673714285714286,6.558309523809523,207.06204047619048,5.714761904761905,19.538904761904764,1699.3019047619048
1990-09-30,0.009028021428571429,0.007314245238095238,0.009667804761904762,0.008078440476190477,0.007639921428571428,1699.3015476190474,22077577365.45238,7464.109523809524,21868505437.97619,7407.7357142857145,7.676869417969179,11.743893880267732,4.8084474878663475,0.0022477966101694916,0.007391630508474577,0.007793915254237287,8.89,7.36,10.64,132.5,5.9,29.11,306.05
1990-10-31,-0.012499,-0.015049,-0.057155,-0.058745,-0.006698,304.0,2739330830.0,6740.0,2780995450.0,6708.0,0.8559866256358816,0.7605157931057464,0.8602163181266449,0.0068000000000000005,-0.019299,-0.063955,8.72,7.17,10.74,133.4,5.9,30.04,304.0
1990-11-30,0.065742,0.061414,0.035468,0.033422,0.059934,322.22,2905485660.0,6716.0,2734868300.0,6689.0,0.9122608983784357,0.787489767255621,0.9117725229372472,0.005699999999999999,0.060042,0.029768,8.39,7.06,10.62,133.7,6.2,22.16,322.22
1990-12-31,0.029511,0.026274,-0.004526,-0.007286,0.024828,330.22,2979693820.0,6705.0,2904101400.0,6679.0,0.9391826297504818,0.7839255885690221,0.9344100111367333,0.006,0.023510999999999997,-0.010526,8.08,6.74,10.43,134.2,6.3,26.38,330.22
1991-01-31,0.049083,0.046987,0.084175,0.08298,0.041518,343.93,3115197450.0,6675.0,2973519950.0,6653.0,0.9852805307665248,0.8499125249868196,0.9732048459791082,0.0052,0.043883000000000005,0.078975,8.09,6.22,10.45,134.7,6.4,20.91,343.93
1991-02-28,0.075848,0.071836,0.133898,0.132109,0.067281,367.07,3339106370.0,6662.0,3114024390.0,6636.0,1.060012088464104,0.9637141122575048,1.0386830412214285,0.0048,0.071048,0.129098,7.85,5.94,10.07,134.8,6.6,21.23,367.07
1991-03-28,0.028922,0.026702,0.078293,0.076343,0.022203,375.22,3444735650.0,6660.0,3332385440.0,6617.0,1.0906697580866627,1.0391661812484816,1.061744920785668,0.0022477966101694916,0.007391630508474577,0.007793915254237287,4.249547619047619,2.673714285714286,6.558309523809523,207.06204047619048,5.714761904761905,19.538904761904764,1699.3019047619048
1991-03-31,0.009028021428571429,0.007314245238095238,0.009667804761904762,0.008078440476190477,0.007639921428571428,1699.3015476190474,22077577365.45238,7464.109523809524,21868505437.97619,7407.7357142857145,7.676869417969179,11.743893880267732,4.8084474878663475,0.0022477966101694916,0.007391630508474577,0.007793915254237287,8.11,5.91,10.09,134.8,6.8,16.88,375.22
